asset_id	objective_id	input_contract	target_label	source_gate	baseline	primary_metric	parameter_cap	consumer	overlap_guard	status	authority
ICM-001	OBJ-ICM-001-CRUCIBLE-STATE	OV5640_QVGA_RGB565_crucible_ROI	crucible_state_loaded_empty_done_and_confidence	FROZEN_EVIDENCE	frozen_CNN_board_checkpoint	golden_vector_accuracy_and_camera_replay_macro_F1	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_TASK_NOT_RECOUNTED	FROZEN_BASELINE_CONTRACT	0
ICM-002	OBJ-ICM-002-CRUCIBLE-FEW-SHOT	crucible_embedding_plus_support_prototypes	novel_crucible_state_class_and_distance	FROZEN_EVIDENCE	frozen_nearest_class_mean_head	heldout_episode_macro_F1	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_FEW_SHOT_HEAD_DISTINCT_FROM_ICM_001_CNN	FROZEN_BASELINE_CONTRACT	0
ICM-003	OBJ-ICM-003-SINTER-ANOMALY	multivariate_sinter_sensor_window	reconstruction_residual_and_anomaly_score	FROZEN_EVIDENCE	frozen_autoencoder_threshold	golden_trace_AUROC_and_false_alarm_rate	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_ANOMALY_NOT_NEW_FORECAST_TASK	FROZEN_BASELINE_CONTRACT	0
ICM-004	OBJ-ICM-004-SINTER-SEQUENCE	ordered_process_feature_sequence	sinter_stage_and_sequence_normality	FROZEN_EVIDENCE	frozen_tiny_transformer_checkpoint	stage_macro_F1_and_sequence_NLL	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_SEQUENCE_CLASSIFIER	FROZEN_BASELINE_CONTRACT	0
ICM-005	OBJ-ICM-005-RISK-FUSION	frozen_AI_alarm_vector_plus_sensor_health	fused_risk_grade	FROZEN_EVIDENCE	frozen_risk_fusion_checkpoint	risk_macro_F1_and_severe_recall	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_FUSION_HAS_NO_ACTUATOR_AUTHORITY	FROZEN_BASELINE_CONTRACT	0
ICM-006	OBJ-ICM-006-ROOT-CAUSE	alarm_pattern_plus_process_context	root_cause_class	FROZEN_EVIDENCE	frozen_root_cause_checkpoint	root_cause_macro_F1	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_CAUSE_CLASSIFIER	FROZEN_BASELINE_CONTRACT	0
ICM-007	OBJ-ICM-007-OPTICAL-TIMESERIES	recipe_and_optical_feature_sequence	emission_peak_and_FWHM_summary	FROZEN_EVIDENCE	frozen_optical_timeseries_checkpoint	lambda_MAE_nm_and_FWHM_MAE_nm	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_AI6_OUTPUT_BOUNDARY	FROZEN_BASELINE_CONTRACT	0
ICM-008	OBJ-ICM-008-THERMAL-QUENCH-BAND	temperature_PL_response_features	three_band_thermal_quench_class	FROZEN_EVIDENCE	frozen_thermal_quench_checkpoint	band_macro_F1	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_AI7_CLASS_OUTPUT_BOUNDARY	FROZEN_BASELINE_CONTRACT	0
ICM-009	OBJ-ICM-009-ENERGY-CARBON	recipe_duration_power_profile	energy_kWh_and_CO2_kg	FROZEN_EVIDENCE	frozen_energy_carbon_checkpoint	energy_MAPE_and_CO2_MAPE	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_ACCOUNTING_TASK	FROZEN_BASELINE_CONTRACT	0
ICM-010	OBJ-ICM-010-RECIPE-RETRIEVAL	composition_target_property_vector	nearest_validated_recipe_ID_and_distance	FROZEN_EVIDENCE	frozen_recipe_kNN_index	top1_retrieval_accuracy_and_MRR	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_RECIPE_RETRIEVAL	FROZEN_BASELINE_CONTRACT	0
ICM-011	OBJ-ICM-011-VIBRATION-PDM	ADXL345_vibration_window	motor_running_stopped_health_class	FROZEN_EVIDENCE	frozen_vibration_checkpoint	macro_F1_and_false_stop_rate	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_AI10_TWO_CLASS_BOUNDARY	FROZEN_BASELINE_CONTRACT	0
ICM-012	OBJ-ICM-012-PHASE-PURITY	XRD_derived_phase_features	pure_impure_probability	FROZEN_EVIDENCE	frozen_phase_purity_checkpoint	AUROC_and_Brier_score	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_PURITY_CLASSIFIER	FROZEN_BASELINE_CONTRACT	0
ICM-013	OBJ-ICM-013-PL-DOPANT	PL_feature_vector	dopant_family_class	FROZEN_EVIDENCE	frozen_PL_dopant_checkpoint	macro_F1	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_DOPANT_CLASSIFIER	FROZEN_BASELINE_CONTRACT	0
ICM-014	OBJ-ICM-014-PL-QC-ANOMALY	normalized_PL_spectrum	PL_reconstruction_error_and_QC_flag	FROZEN_EVIDENCE	frozen_PL_autoencoder	AUROC_and_false_reject_rate	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_PL_ANOMALY	FROZEN_BASELINE_CONTRACT	0
ICM-015	OBJ-ICM-015-TEMPERATURE-FORECAST	scalar_temperature_history_and_setpoint	future_scalar_temperature_C	FROZEN_EVIDENCE	frozen_temperature_forecast_checkpoint	MAE_C_at_frozen_horizon	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_AI14_SCALAR_FORECAST_BOUNDARY	FROZEN_BASELINE_CONTRACT	0
ICM-016	OBJ-ICM-016-PL-HOST-ID	PL_embedding	host_material_class	FROZEN_EVIDENCE	frozen_host_ID_checkpoint	macro_F1	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_AI15_HOST_CLASS_BOUNDARY	FROZEN_BASELINE_CONTRACT	0
ICM-017	OBJ-ICM-017-PL-EMISSION-LAMBDA	PL_spectrum_features	emission_peak_wavelength_nm	FROZEN_EVIDENCE	frozen_PL_lambda_checkpoint	MAE_nm	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_AI16_EMISSION_PEAK_BOUNDARY	FROZEN_BASELINE_CONTRACT	0
ICM-018	OBJ-ICM-018-PL-FEW-SHOT	PL_embedding_plus_support_prototypes	novel_PL_class_and_distance	FROZEN_EVIDENCE	frozen_PL_few_shot_head	episode_macro_F1	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_FEW_SHOT_PL_TASK	FROZEN_BASELINE_CONTRACT	0
ICM-019	OBJ-ICM-019-RUL-ETA	process_stage_health_and_elapsed_time	remaining_time_and_completion_ETA	FROZEN_EVIDENCE	frozen_RUL_ETA_checkpoint	MAE_minutes_and_interval_coverage	FROZEN_ARTIFACT_NO_RESIZE	LEGACY_UI_RUNTIME	FROZEN_BASELINE_TIME_TO_COMPLETION	FROZEN_BASELINE_CONTRACT	0
